2L	11519	11778	2	2	1	2	0	36
2L	17208	19879	2	2	0	43	0	28
2L	17213	18260	2	2	1	2	0	23
2L	17213	19879	2	2	1	134	0	26
2L	72082	74902	1	1	1	27	0	23
2L	72978	74902	1	1	1	1	0	5
2L	73898	74902	1	1	1	1	0	36
2L	75019	75077	1	1	1	2	0	33
2L	97834	97883	1	1	1	1	0	33
2L	100704	100761	1	1	1	31	0	28
2L	100943	101015	1	1	1	1	0	17
2L	103435	103515	1	1	1	1	0	22
2L	104948	105004	2	2	1	1	0	36
2L	108810	110405	1	1	1	3	0	26
2L	110878	111906	1	1	1	2	0	16
2L	111118	112689	1	1	1	2	0	29
2L	112020	112689	1	1	1	48	0	32
2L	113370	113433	1	1	1	2	0	37
2L	122995	123080	2	2	1	1	0	28
2L	123630	123693	2	2	1	173	0	11
2L	123795	123855	2	2	1	1	0	11
2L	124025	124086	2	2	1	1	0	17
2L	126228	128799	2	2	1	1	0	8
2L	155060	155127	2	2	1	2	0	28
2L	155430	155566	1	1	1	1	0	34
2L	155785	155857	1	1	1	3	0	27
2L	204779	249132	2	2	0	1	0	12
2L	208609	208728	1	1	1	2	0	23
2L	216574	216631	2	2	1	1	0	38
2L	251465	251526	2	2	1	1	0	25
2L	252167	252226	2	2	1	1	0	36
2L	253891	253955	2	2	1	37	0	7
2L	275252	275318	2	2	1	74	0	16
2L	276904	276958	2	2	1	95	0	13
2L	284969	290812	2	2	1	1	0	16
2L	295629	295703	1	1	1	40	0	19
2L	296812	296976	1	1	1	125	0	24
2L	342793	342865	1	1	1	1	0	4
2L	407961	429729	1	1	0	0	1	20
2L	409737	409789	2	2	1	57	0	11
2L	413655	414442	2	2	1	1	0	8
2L	420147	420291	1	1	1	1177	0	34
2L	420696	470545	2	2	0	45	0	20
2L	449321	449434	2	2	1	1	0	12
2L	450541	450665	2	2	1	2	0	9
2L	450879	452576	2	2	1	1	0	22
2L	473166	473222	1	1	1	1	0	14
2L	542351	542429	2	2	1	1	0	24
2L	544267	544332	2	2	1	1	0	22
2L	566439	566497	2	2	1	1	0	29
2L	574699	574779	1	1	1	77	0	29
2L	759550	759678	1	1	1	7	0	26
2L	821660	822857	1	1	1	2	0	18
2L	823570	823636	1	1	1	97	0	20
2L	826508	829304	1	1	1	58	0	7
2L	826508	829456	1	1	1	1	0	23
2L	831627	831713	1	1	1	1	0	33
2L	834584	834973	2	2	1	1	0	34
2L	835291	835352	2	2	1	9	0	35
2L	871577	871640	1	1	1	37	0	14
2L	914494	914552	1	1	1	2	0	11
2L	1081428	1081577	1	1	1	2	0	19
2L	1085681	1085743	2	2	1	1	0	3
2L	1117517	1118565	2	2	1	330	0	38
2L	1117517	1128128	2	2	1	1	0	11
2L	1152116	1152176	2	2	1	34	0	33
2L	1152701	1152770	2	2	1	1	0	25
2L	1153319	1153385	2	2	1	126	0	35
2L	1153732	1158078	2	2	1	1	0	6
2L	1162147	1162999	2	2	1	1	0	36
2L	1166923	1166982	1	1	1	50	0	36
2L	1170364	1170418	1	1	1	2	0	30
2L	1360737	1360795	2	2	1	1	0	23
2L	1360927	1361457	2	2	1	1	0	37
2L	1391299	1391388	2	2	1	1	0	21
2L	1612989	1613043	2	2	1	1	0	36
2L	1613424	1613982	2	2	1	107	0	26
2L	1708403	1708461	2	2	1	2	0	14
2L	1718359	1718420	2	2	1	1	0	19
2L	1727881	1728053	2	2	1	1	0	4
2L	1942047	1942107	1	1	1	1	0	14
2L	1942183	1942250	1	1	1	1	0	35
2L	1942664	1942784	1	1	1	6	0	15
2L	1983961	1984018	1	1	1	47	0	33
2L	1984144	1984205	1	1	1	28	0	30
2L	1985402	1985470	2	2	1	1	0	30
2L	1985720	1985781	2	2	1	1	0	35
2L	1985884	1985945	2	2	1	1	0	20
2L	1986106	1987584	2	2	1	59	0	30
2L	2008542	2008672	1	1	1	123	0	10
2L	2040360	2040421	1	1	1	1	0	21
2L	2046219	2046427	1	1	1	149	0	37
2L	2131255	2134438	1	1	1	95	0	33
2L	2136645	2136730	1	1	1	3	0	14
2L	2142581	2142641	2	2	1	1	0	31
